text,pagenum,doc_name
Barclays PLC Country Snapshot 2021,1,with-highlights-comments-barclays-country-snapshot-2021pdf
"Barclays is a British universal bank. We support individuals and small businesses through our consumer banking services, and larger businesses and institutions through our corporate and investment banking services.",2,with-highlights-comments-barclays-country-snapshot-2021pdf
Growing. Together.,2,with-highlights-comments-barclays-country-snapshot-2021pdf
Our Purpose … influences our strategy …,2,with-highlights-comments-barclays-country-snapshot-2021pdf
"We deploy finance responsibly to Our diversification, built to deliver support people and double-digit returns businesses, acting with empathy and integrity, championing innovation and sustainability, for Strategic priorities to the common good sustain and grow and the long term.",2,with-highlights-comments-barclays-country-snapshot-2021pdf
Read more on why and how we are growing together on page 2 of our Annual Report at home.barclays/annualreport,2,with-highlights-comments-barclays-country-snapshot-2021pdf
… which we will deliver through the Power of One Barclays ...,2,with-highlights-comments-barclays-country-snapshot-2021pdf
The Power of One Barclays,2,with-highlights-comments-barclays-country-snapshot-2021pdf
Which in turn helps us fulfil our Purpose,2,with-highlights-comments-barclays-country-snapshot-2021pdf
Read more on our strategy on page 10 of our Annual Report at home.barclays/annualreport,2,with-highlights-comments-barclays-country-snapshot-2021pdf
Read more on our business model on page 12 of our Annual Report at home.barclays/annualreport,2,with-highlights-comments-barclays-country-snapshot-2021pdf
… creating positive outcomes for our stakeholders.,2,with-highlights-comments-barclays-country-snapshot-2021pdf
Customers and clients,2,with-highlights-comments-barclays-country-snapshot-2021pdf
Colleagues,2,with-highlights-comments-barclays-country-snapshot-2021pdf
Society,2,with-highlights-comments-barclays-country-snapshot-2021pdf
Investors,2,with-highlights-comments-barclays-country-snapshot-2021pdf
See our Key Performance Indicators on page 20 of our Annual Report at home.barclays/annualreport,2,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our experience, insight and adaptability help unlock opportunities.",3,with-highlights-comments-barclays-country-snapshot-2021pdf
"See our back cover for an example of how we are growing, together.",3,with-highlights-comments-barclays-country-snapshot-2021pdf
"OverviewWelcome to the 2021 Barclays Country Snapshot. This report contains an overview of our global tax contribution as well as our approach to tax including our UK tax strategy, together with our country by country data.",3,with-highlights-comments-barclays-country-snapshot-2021pdf
1,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview,3,with-highlights-comments-barclays-country-snapshot-2021pdf
About this,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Inside this report,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Tax contribution,3,with-highlights-comments-barclays-country-snapshot-2021pdf
report,3,with-highlights-comments-barclays-country-snapshot-2021pdf
2021 highlights About Barclays Our wider contribution,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Our global tax contribution The taxes we pay and collect as we do business Taxes paid by region,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Our approach to tax Our tax principles and tax code of conduct Our investment and tax incentives Our governance and risk management Our engagement and commitment to tax transparency Our commitment to information sharing and support for a fair tax system Our role in global efforts to combat tax evasion Our UK tax strategy,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Statement of Directors’ responsibilities Independent Auditor’s report to Barclays PLC Country by country data,3,with-highlights-comments-barclays-country-snapshot-2021pdf
02 03 04,3,with-highlights-comments-barclays-country-snapshot-2021pdf
05 06 07,3,with-highlights-comments-barclays-country-snapshot-2021pdf
08 09 11 12 13,3,with-highlights-comments-barclays-country-snapshot-2021pdf
14 15 16,3,with-highlights-comments-barclays-country-snapshot-2021pdf
17 18 20,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,3,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC Country Snapshot 2021,3,with-highlights-comments-barclays-country-snapshot-2021pdf
"OverviewBarclays continues to make substantial tax payments across the countries in which we operate. Over the last decade, we have consistently been ranked as one of the top five largest UK taxpayers, paying over £14bn of taxes in the UK.",4,with-highlights-comments-barclays-country-snapshot-2021pdf
2021 highlights,4,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview Tax contribution,4,with-highlights-comments-barclays-country-snapshot-2021pdf
"“ Over the last decade, we have consistently been ranked as one of the top five largest UK taxpayers.",4,with-highlights-comments-barclays-country-snapshot-2021pdf
2,4,with-highlights-comments-barclays-country-snapshot-2021pdf
"Barclays continues to make substantial tax payments across the countries in which we operate, both in terms of the taxes we pay, which represent a cost to us (hereafter referred to as ‘taxes paid’), and taxes collected, which are those we administer on behalf of governments and collect from others as we do business. In 2021, we made a total tax contribution of £5,792m globally. Barclays was ranked as the fourth largest UK taxpayer, in terms of taxes paid, in the most recent PwC Total Tax Contribution survey of the One Hundred Group (100 Group). The 100 Group represents members of the FTSE 100 along with several large UK private companies. Over the last decade, we have consistently been ranked as one of the top five largest UK taxpayers, paying over £14bn of taxes in the UK.",4,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our efforts to increase our transparency Transparency remains high on our agenda and tax continues to be an important issue for our stakeholders. We believe that it is important for our investors, customers and clients, regulators, tax authorities and other stakeholders to understand our approach to tax and our tax contribution in the countries in which we operate. Consistent with our commitment to tax transparency we have published details of the taxes we pay and our approach to tax since 2013, and we have enhanced our report each year. This year’s Country Snapshot is no exception.",4,with-highlights-comments-barclays-country-snapshot-2021pdf
Approach to tax,4,with-highlights-comments-barclays-country-snapshot-2021pdf
UK,4,with-highlights-comments-barclays-country-snapshot-2021pdf
Rank by UK tax paid,4,with-highlights-comments-barclays-country-snapshot-2021pdf
N o.4 Global Our key 2021 figures are shown below,4,with-highlights-comments-barclays-country-snapshot-2021pdf
Total taxes paid by Barclays,4,with-highlights-comments-barclays-country-snapshot-2021pdf
"£ 2,781m Total taxes collected by Barclays",4,with-highlights-comments-barclays-country-snapshot-2021pdf
"£ 3,011m Total tax contribution £ 5,792m",4,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC home.barclays/annualreport,4,with-highlights-comments-barclays-country-snapshot-2021pdf
Country by country data,4,with-highlights-comments-barclays-country-snapshot-2021pdf
Profit before tax,4,with-highlights-comments-barclays-country-snapshot-2021pdf
"£ 8,414m Number of countries that Barclays operates in",4,with-highlights-comments-barclays-country-snapshot-2021pdf
39 Average number of employees globally,4,with-highlights-comments-barclays-country-snapshot-2021pdf
"82,915",4,with-highlights-comments-barclays-country-snapshot-2021pdf
Barclays PLC Country Snapshot 2021,4,with-highlights-comments-barclays-country-snapshot-2021pdf
"OverviewWe are diversified by business, geography and income type. Our operations include consumer banking and payment services in the UK, US and Europe, as well as a global corporate and investment bank.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
Overview Tax contribution,5,with-highlights-comments-barclays-country-snapshot-2021pdf
About Barclays,5,with-highlights-comments-barclays-country-snapshot-2021pdf
"Our structure Barclays operates as two divisions, Barclays UK and Barclays International, supported by our service company, Barclays Execution Services.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
"Barclays UK Barclays UK consists of our UK Personal Banking, UK Business Banking and Barclaycard Consumer UK businesses. These businesses are carried on by our UK ring-fenced bank (Barclays Bank UK PLC) and certain other entities within the Barclays Group.",5,with-highlights-comments-barclays-country-snapshot-2021pdf
UK Personal Banking offers retail solutions to help customers with their day-to-day banking needs.,5,with-highlights-comments-barclays-country-snapshot-2021pdf
